timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,tracker_rot_quat_x,tracker_rot_quat_y,tracker_rot_quat_z,tracker_rot_quat_w,sensor_x,sensor_y,sensor_z
1754658743.4773262,0.02649986743927002,1.0042821168899536,0.007324919104576111,97.36361602997111,-32.9507277641255,-3.5435865750995466,0.7140837602698065,-0.20942477746770988,0.1933238713947776,0.639414896081538,-218.6,-108.8,24.87
1754658743.7013369,0.03756117820739746,1.0128777027130127,0.011291220784187317,101.81189921174258,-30.860113708323226,-27.083714041960164,0.6880527501293788,-0.3382936144860478,0.05841773883768424,0.6393184844612478,-189.6,-89.6,-49.42
1754658743.907108,0.08120423555374146,1.0117249488830566,-0.013956084847450256,71.80377201201166,-6.680508756654514,8.18921407038409,0.5872785074118749,-0.005275987134940567,0.09181977965766518,0.8041425174256139,-184.4,-156.0,188.96
1754658744.1128042,0.0705634355545044,1.013480305671692,-0.020360693335533142,74.50265919298718,-7.594556696138963,25.164275760586133,0.6009621963497845,0.08012162028334742,0.21214151239160325,0.7664338724211797,-311.6,-39.2,171.19
1754658744.3316572,0.07017433643341064,1.0063493251800537,-0.03252001106739044,86.23739524559606,-10.589314593261902,3.6669784656987083,0.6824022561619241,-0.045547031284499044,0.08629533530170976,0.7244346978772909,-276.6,-13.8,50.07
1754658744.5381634,0.07601583003997803,1.0073671340942383,-0.016463056206703186,110.10326793828125,-18.893392118759234,-5.744612041119122,0.8028256424553667,-0.1344185116638729,0.10604737967821627,0.5711011137272337,-273.8,-52.6,20.03
1754658744.743762,0.060750365257263184,1.012306809425354,0.0010426491498947144,93.84125809037153,-37.66977390353728,22.996744501380554,0.7213782434564798,-0.07827597862475327,0.35993482519274633,0.5864581115856621,-296.0,-20.0,130.17
1754658744.9673052,0.040646135807037354,1.014241099357605,-0.015929579734802246,63.67432210944243,-20.942369668441987,25.63424241252372,0.5400487459506312,-0.035477850868540994,0.27880646161400013,0.7933193286835368,-281.8,-96.6,112.4
1754658745.1729476,0.04765725135803223,1.005892038345337,-0.031538113951683044,83.19067691785223,-16.686062967545727,0.6347358160926699,0.6574306768798126,-0.10487288469863296,0.10042350721418766,0.7393927356546919,-203.4,-71.0,31.98
1754658745.3788562,0.05337238311767578,1.010437250137329,-0.027193158864974976,109.90981540964268,-14.527352438697218,-13.318396952559828,0.7982318059788248,-0.1662896627124244,0.0367603506863019,0.5777735350609194,-221.0,-44.8,-58.46
